date,party,support,type
2022-10-01,D,0.244,prop
2022-10-01,B,3100,count
2022-10-01,B,0.138,prop
2022-10-01,C,3100,count
2022-10-01,C,0.084,prop
2022-10-01,F,3100,count
2022-10-01,F,0.053,prop
2022-10-01,J,3100,count
2022-10-01,J,0.05,prop
2022-10-01,M,3100,count
2022-10-01,M,0.05,prop
2022-10-01,P,3100,count
2022-10-01,P,0.129,prop
2022-10-01,S,3100,count
2022-10-01,S,0.166,prop
2022-10-01,V,3100,count
2022-10-01,V,0.084,prop
2022-10-01,others,3100,count
2022-10-01,others,0.001,prop
2022-09-01,D,4150,count
2022-09-01,D,0.24100000000000002,prop
2022-09-01,B,4150,count
2022-09-01,B,0.134,prop
2022-09-01,C,4150,count
2022-09-01,C,0.085,prop
2022-09-01,F,4150,count
2022-09-01,F,0.051,prop
2022-09-01,J,4150,count
2022-09-01,J,0.051,prop
2022-09-01,M,4150,count
2022-09-01,M,0.054000000000000006,prop
2022-09-01,P,4150,count
2022-09-01,P,0.136,prop
2022-09-01,S,4150,count
2022-09-01,S,0.163,prop
2022-09-01,V,4150,count
2022-09-01,V,0.08199999999999999,prop
2022-09-01,others,4150,count
2022-09-01,others,0.001,prop
2022-08-01,D,4130,count
2022-08-01,D,0.218,prop
2022-08-01,B,4130,count
2022-08-01,B,0.156,prop
2022-08-01,C,4130,count
2022-08-01,C,0.084,prop
2022-08-01,F,4130,count
2022-08-01,F,0.055999999999999994,prop
2022-08-01,J,4130,count
2022-08-01,J,0.051,prop
2022-08-01,M,4130,count
2022-08-01,M,0.046,prop
2022-08-01,P,4130,count
2022-08-01,P,0.14800000000000002,prop
2022-08-01,S,4130,count
2022-08-01,S,0.155,prop
2022-08-01,V,4130,count
2022-08-01,V,0.084,prop
2022-08-01,others,4130,count
2022-08-01,others,0.002,prop
2022-07-01,D,3830,count
2022-07-01,D,0.221,prop
2022-07-01,B,3830,count
2022-07-01,B,0.154,prop
2022-07-01,C,3830,count
2022-07-01,C,0.086,prop
2022-07-01,F,3830,count
2022-07-01,F,0.066,prop
2022-07-01,J,3830,count
2022-07-01,J,0.053,prop
2022-07-01,M,3830,count
2022-07-01,M,0.044000000000000004,prop
2022-07-01,P,3830,count
2022-07-01,P,0.15,prop
2022-07-01,S,3830,count
2022-07-01,S,0.13699999999999998,prop
2022-07-01,V,3830,count
2022-07-01,V,0.086,prop
2022-07-01,others,3830,count
2022-07-01,others,0.004,prop
2022-06-01,D,3840,count
2022-06-01,D,0.228,prop
2022-06-01,B,3840,count
2022-06-01,B,0.175,prop
2022-06-01,C,3840,count
2022-06-01,C,0.067,prop
2022-06-01,F,3840,count
2022-06-01,F,0.07,prop
2022-06-01,J,3840,count
2022-06-01,J,0.040999999999999995,prop
2022-06-01,M,3840,count
2022-06-01,M,0.046,prop
2022-06-01,P,3840,count
2022-06-01,P,0.161,prop
2022-06-01,S,3840,count
2022-06-01,S,0.13699999999999998,prop
2022-06-01,V,3840,count
2022-06-01,V,0.07200000000000001,prop
2022-06-01,others,3840,count
2022-06-01,others,0.004,prop
2022-05-01,D,4630,count
2022-05-01,D,0.201,prop
2022-05-01,B,4630,count
2022-05-01,B,0.175,prop
2022-05-01,C,4630,count
2022-05-01,C,0.095,prop
2022-05-01,F,4630,count
2022-05-01,F,0.064,prop
2022-05-01,J,4630,count
2022-05-01,J,0.05,prop
2022-05-01,M,4630,count
2022-05-01,M,0.043,prop
2022-05-01,P,4630,count
2022-05-01,P,0.147,prop
2022-05-01,S,4630,count
2022-05-01,S,0.141,prop
2022-05-01,V,4630,count
2022-05-01,V,0.081,prop
2022-05-01,others,4630,count
2022-05-01,others,0.002,prop
2022-04-01,D,4120,count
2022-04-01,D,0.198,prop
2022-04-01,B,4120,count
2022-04-01,B,0.156,prop
2022-04-01,C,4120,count
2022-04-01,C,0.096,prop
2022-04-01,F,4120,count
2022-04-01,F,0.077,prop
2022-04-01,J,4120,count
2022-04-01,J,0.046,prop
2022-04-01,M,4120,count
2022-04-01,M,0.040999999999999995,prop
2022-04-01,P,4120,count
